chr1	942427	+
chr1	944219	-
chr1	944475	+
chr1	954014	-
chr1	999131	-
chr1	999142	-
chr1	999785	-
chr1	1043246	+
chr1	1043868	+
chr1	1048884	+
chr1	1055228	+
chr1	1311503	+
chr1	1338565	-
chr1	1340057	-
chr1	1349054	-
chr1	1541674	-
chr1	1598461	-
chr1	1599798	-
chr1	1752811	-
chr1	2391880	+
chr1	6221386	-
chr1	9823793	-
chr1	11925272	-
chr1	11975276	+
chr1	20652513	-
chr1	20744004	-
chr1	21219812	-
chr1	23749021	+
chr1	24660791	+
chr1	24671440	+
chr1	26269493	+
chr1	26826836	+
chr1	27850301	+
chr1	27850303	+
chr1	29154719	-
chr1	31635482	-
chr1	32193250	+
chr1	32197877	+
chr1	32292182	+
chr1	32336019	-
chr1	37808098	+
chr1	37809094	+
chr1	38991487	+
chr1	39753349	+
chr1	40072496	+
chr1	40861436	-
chr1	42930809	-
chr1	43362261	+
chr1	43362985	+
chr1	43591277	+
chr1	43979323	+
chr1	51236583	+
chr1	51784560	+
chr1	52357586	-
chr1	55063887	+
chr1	62319180	-
chr1	63629458	+
chr1	64869333	-
chr1	67704849	-
chr1	68232435	-
chr1	85581448	+
chr1	92841919	+
chr1	94480466	+
chr1	104153269	-
chr1	109737082	-
chr1	109984849	+
chr1	111443904	-
chr1	111448684	-
chr1	112701502	-
chr1	114536160	+
chr1	114704711	-
chr1	119744191	+
chr1	120155205	-
chr1	150622751	-
chr1	150624072	-
chr1	151184443	-
chr1	151369766	-
chr1	153959701	-
chr1	153982803	-
chr1	154602034	-
chr1	154963697	-
chr1	154992721	+
chr1	155015026	+
chr1	155057682	+
chr1	155057683	+
chr1	155058310	+
chr1	155062509	+
chr1	155134021	+
chr1	155140148	-
chr1	156054896	+
chr1	156114877	+
chr1	156139475	+
chr1	156266556	-
chr1	156742111	-
chr1	156743366	-
chr1	157170073	+
chr1	158176208	-
chr1	160215296	+
chr1	160222726	-
chr1	160239910	-
chr1	160335299	-
chr1	166848954	+
chr1	167553726	-
chr1	167765616	+
chr1	168063643	+
chr1	168063651	+
chr1	171784233	+
chr1	171787785	+
chr1	179074372	+
chr1	180196532	+
chr1	182852314	+
chr1	182887272	+
chr1	183117396	+
chr1	193021126	-
chr1	201465817	-
chr1	201484271	-
chr1	201876399	+
chr1	201876402	+
chr1	202003410	+
chr1	202135736	-
chr1	202918212	-
chr1	202951134	-
chr1	204409534	-
chr1	205715800	-
chr1	205717557	-
chr1	205750158	-
chr1	205768837	-
chr1	206733197	+
chr1	212433076	+
chr1	212445953	+
chr1	212791655	-
chr1	214314829	+
chr1	215573806	+
chr1	224393978	-
chr1	224404520	-
chr1	225428014	-
chr1	225511852	-
chr1	225920271	-
chr1	227734802	-
chr1	228141155	+
chr1	229659181	+
chr1	230236033	+
chr1	230281201	+
chr1	230690083	+
chr1	234606698	-
chr1	235111807	-
chr1	241504123	-
chr1	244451872	-
chr2	3575292	+
chr2	4821842	+
chr2	11824813	+
chr2	15593145	+
chr2	20037391	-
chr2	20283354	-
chr2	20290708	-
chr2	20448387	+
chr2	24799706	+
chr2	26191234	-
chr2	27131446	-
chr2	27368035	-
chr2	27409491	-
chr2	27663987	+
chr2	27664560	+
chr2	27677899	+
chr2	28783915	+
chr2	32192920	+
chr2	36544453	+
chr2	42048379	+
chr2	46297793	+
chr2	46904392	-
chr2	53970641	-
chr2	54637736	+
chr2	54658028	+
chr2	54658038	+
chr2	55249492	-
chr2	68175540	+
chr2	68178908	-
chr2	70087638	+
chr2	70993758	-
chr2	71423138	+
chr2	71426532	+
chr2	84836479	-
chr2	84836826	-
chr2	86505824	-
chr2	96295536	-
chr2	99188235	+
chr2	99361202	+
chr2	100566511	+
chr2	128187486	+
chr2	135755656	+
chr2	135783522	+
chr2	149587688	-
chr2	169636885	+
chr2	170966155	+
chr2	174123653	-
