ref	pos	strand	u	d	ur	pval	passed
ENST00000445817.1|ENSG00000234277.4|OTTHUMG00000037611.2|OTTHUMT00000091688.1|LINC01641-202|LINC01641|1971|	1927	+	10	488	0.020491803278688523	0.00001932384866785104	true
ENST00000452431.5|ENSG00000293616.2|OTTHUMG00000153728.26|OTTHUMT00000329620.3|PCBP1-AS1-248|PCBP1-AS1|1194|	191	-	4	94	0.0425531914893617	0.00044481729544593147	true
ENST00000502999.2|ENSG00000248839.2|OTTHUMG00000160039.1|OTTHUMT00000358977.1|ENST00000502999|ENSG00000248839|947|	338	-	3	53	0.05660377358490566	0.0010449933981242219	false
ENST00000625256.1|ENSG00000280927.1|OTTHUMG00000189534.1|OTTHUMT00000479923.1|CTBP1-AS-201|CTBP1-AS|3886|	710	-	9	298	0.030201342281879196	2.3238971338072355e-6	true
ENST00000500031.1|ENSG00000245748.2|OTTHUMG00000159982.1|OTTHUMT00000358686.1|ENST00000500031|ENSG00000245748|4300|	2897	-	3	109	0.027522935779816515	0.008028862597153862	false
ENST00000606994.3|ENSG00000272086.3|OTTHUMG00000185453.1|OTTHUMT00000470550.1|GOLPH3-DT-201|GOLPH3-DT|1926|	104	-	3	150	0.02	0.018858057373266488	false
ENST00000691329.2|ENSG00000289375.2|-|-|ENST00000691329|ENSG00000289375|1855|	172	-	3	77	0.03896103896103896	0.0030541572689311096	false
ENST00000827816.1|ENSG00000226803.10|OTTHUMG00000014917.6|-|ZNF451-AS1-228|ZNF451-AS1|1061|	13	-	5	34	0.14705882352941177	1.798758612745457e-7	true
ENST00000772791.1|ENSG00000300574.1|-|-|ENST00000772791|ENSG00000300574|1605|	594	+	4	185	0.021621621621621623	0.005280821366111525	false
ENST00000790494.1|ENSG00000273055.2|OTTHUMG00000186301.1|-|ENST00000790494|ENSG00000273055|335|	24	-	3	92	0.03260869565217391	0.005031587692894883	false
ENST00000848559.1|ENSG00000310253.1|-|-|ENST00000848559|ENSG00000310253|1350|	616	+	1676	4915	0.3409969481180061	0.0	true
ENST00000550043.1|ENSG00000293235.1|-|OTTHUMT00000408770.1|ENST00000550043|ENSG00000293235|1585|	730	+	8	110	0.07272727272727272	1.060521733608073e-8	true
ENST00000778697.1|ENSG00000301403.1|-|-|ENST00000778697|ENSG00000301403|1375|	84	-	81	1454	0.05570839064649243	2.4525232832532426e-65	true
ENST00000563103.1|ENSG00000260035.1|OTTHUMG00000172834.1|OTTHUMT00000420790.1|ENST00000563103|ENSG00000260035|308|	219	+	22	43	0.5116279069767442	3.3689113391124286e-42	true
ENST00000531523.4|ENSG00000255198.7|OTTHUMG00000166082.2|OTTHUMT00000387781.1|SNHG9-201|SNHG9|712|	37	-	144	575	0.25043478260869567	3.189740050868575e-212	true
ENST00000531523.4|ENSG00000255198.7|OTTHUMG00000166082.2|OTTHUMT00000387781.1|SNHG9-201|SNHG9|712|	38	-	63	562	0.11209964412811388	3.0060715371434355e-70	true
ENST00000537889.2|ENSG00000290391.2|-|OTTHUMT00000398420.1|ENST00000537889|ENSG00000290391|1758|	1647	+	4	27	0.14814814814814814	3.1204082256632847e-6	true
ENST00000591758.1|ENSG00000293016.1|-|OTTHUMT00000460612.1|ENST00000591758|ENSG00000293016|566|	547	+	17	609	0.027914614121510674	3.0026970961483016e-10	true
ENST00000690855.2|ENSG00000289252.2|-|-|ENST00000690855|ENSG00000289252|1640|	385	-	20	274	0.072992700729927	1.1692381806379654e-19	true
ENST00000582965.4|ENSG00000266402.6|OTTHUMG00000178880.1|OTTHUMT00000443742.1|SNHG25-202|SNHG25|1068|	477	+	12	433	0.02771362586605081	1.2719453048905137e-7	true
ENST00000576554.1|ENSG00000262413.1|OTTHUMG00000177881.1|OTTHUMT00000439448.1|ENST00000576554|ENSG00000262413|565|	445	-	10	151	0.06622516556291391	3.8914859637260334e-10	true
ENST00000591657.1|ENSG00000267484.1|OTTHUMG00000180510.1|OTTHUMT00000451703.1|ENST00000591657|ENSG00000267484|511|	202	-	7	196	0.03571428571428571	0.000010465839098427769	true
ENST00000652221.2|ENSG00000293485.2|-|OTTHUMT00000499618.2|SERHL-205|SERHL|2459|	1359	-	3	61	0.04918032786885246	0.0015703729656062258	false
ENST00000452097.1|ENSG00000237017.1|OTTHUMG00000066041.2|OTTHUMT00000141421.2|PRPF31-AS1-201|PRPF31-AS1|4158|	809	-	3	88	0.03409090909090909	0.004445286974859558	false
